Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
107,MAT2002,Applications of Differential and Difference Equations,Dr. nitu,5,4,2,4,5
108,CSE4014 ,High Performance Computing,Dr. chhagana,1,2,0,2,5
109,CSE3011 ,Robotics and its Applications,Dr. dil,4,5,1,1,2
110,MAT1014,Discrete Mathematics and Graph Theory,Dr. sushant,4,5,1,4,3
111,CSE3505,Foundations of Data Analytics,Dr. sabana,4,5,1,2,2
112,CSE3006 ,Embedded System Design,Dr. sazmin,1,2,4,3,5
113,CSE4003 ,Cyber Security,Dr. shanah,2,2,2,3,2
114,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. mhosin,5,3,3,4,3
115,CSE4014 ,High Performance Computing,Dr. jhalla,2,2,1,2,2
116,CSE3009 ,Internet of Things,Dr. sarla,4,1,1,2,5
117,MAT3004 ,Applied Linear Algebra,Dr. supyar,2,2,1,5,5
118,CSE2012,Design and analysis of algorithms,Dr. rupinder,4,4,2,4,3
119,ECE3502,IoT Domain Analyst,Dr. sansaar,5,1,2,3,3
120,CSE2005 ,Operating Systems,Dr. sahana,3,1,2,3,2
121,ECE3502,IoT Domain Analyst,Dr. imtiaz,3,5,2,3,3
122,CSE3002 ,Internet and Web Programming,Dr. shbana,5,2,1,1,4
123,CSE4015 ,Human Computer Interaction,Dr. nayan,2,2,1,2,2
124,EEE1001,Basic Electrical and Electronics Engineering,Dr. minu,5,2,1,5,3
125,CSE3006 ,Embedded System Design,Dr. beby,2,4,3,3,4
126,CSE4004 ,Digital Forensics,Dr. guru,3,5,0,4,3
127,CSE2001 ,Computer Architecture and Organization,Dr. alhamdi,5,5,1,4,3
128,MAT2002,Applications of Differential and Difference Equations,Dr. piryanka,4,1,2,5,4
129,CSE3018 ,Content Based Image and Video Retrieval,Dr. tajinder,4,2,2,4,3
130,CSE4015 ,Human Computer Interaction,Dr. ramkiashan,2,2,1,2,5
131,CSE3029 ,Game Programming,Dr. aditya,4,5,2,1,3
132,CSE2004 ,Database Management Systems,Dr. ravena,3,1,1,1,3
133,CSE2023,Robotic Process Automation,Dr. sakhichander,5,4,3,2,4
134,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. karmi,1,2,1,5,4
135,ECE3502,IoT Domain Analyst,Dr. chhatar,2,5,2,5,2
136,CSE4014 ,High Performance Computing,Dr. siddhi,4,2,1,4,2
137,CSE1004 ,Network and Communication,Dr. megharam,2,3,4,5,5
138,CSE3505,Foundations of Data Analytics,Dr. amratalal,5,4,3,4,4
139,CSE4020 ,Machine Learning,Dr. tahir,4,3,4,3,5
140,CSE2012,Design and analysis of algorithms,Dr. sheru,4,1,1,1,3
141,CSE4022 ,Natural Language Processing,Dr. suhel,1,5,1,4,2
142,CSE3021 ,Social and Information Networks,Dr. sourab,4,5,1,1,2
143,CSE1004 ,Network and Communication,Dr. neeshu,5,3,1,1,3
144,CSE2004 ,Database Management Systems,Dr. raniya,3,2,0,4,2
145,CSE1003 ,Digital Logic and Design,Dr. sayara,2,5,1,3,2
146,CSE3018 ,Content Based Image and Video Retrieval,Dr. veeri,5,2,1,5,2
147,CSE4001 ,Parallel and Distributed Computing,Dr. pritee,4,4,3,3,3
148,MAT3004 ,Applied Linear Algebra,Dr. shanaj,3,2,2,3,2
149,CSE4015 ,Human Computer Interaction,Dr. fauji,3,1,2,4,3
150,CSE4014 ,High Performance Computing,Dr. miss,5,2,0,4,2
151,CSE2006 ,Microprocessor and Interfacing,Dr. daljeet,4,1,2,2,3
152,CSE3006 ,Embedded System Design,Dr. shbana,1,4,2,3,3
153,CSE2006 ,Microprocessor and Interfacing,Dr. sai,4,1,1,1,4
154,CSE4011 ,Virtualization,Dr. adnan,3,5,5,1,5
155,CSE3025 ,Large Scale Data Processing,Dr. daulat,5,1,1,1,3
156,CSE1007 ,Java Programming,Dr. ravishankar,5,4,0,2,3
157,CSE3029 ,Game Programming,Dr. sahun,1,2,2,1,5
158,ECE3502,IoT Domain Analyst,Dr. nagender,4,4,1,1,2
159,CSE2023,Robotic Process Automation,Dr. sameeruddin,1,3,1,2,4
160,CSE4022 ,Natural Language Processing,Dr. amarchand,3,5,6,4,5
161,CSE4019 ,Image Processing,Dr. rupesh,2,1,2,4,3
162,CSE2023,Robotic Process Automation,Dr. shipra,2,5,4,1,5
163,CSE2006 ,Microprocessor and Interfacing,Dr. tripta,3,4,2,3,3
164,ECE3502,IoT Domain Analyst,Dr. rohitash,3,3,4,3,4
165,CSE2005 ,Operating Systems,Dr. ishan,1,2,4,1,5
166,CSE4015 ,Human Computer Interaction,Dr. luxmi,2,3,6,4,5
167,CSE4004 ,Digital Forensics,Dr. sahnawaz,1,3,2,1,2
168,CSE1007 ,Java Programming,Dr. noore,1,4,1,3,2
169,CSE3013 ,Artificial Intelligence,Dr. chandrram,4,2,2,5,4
170,CSE4022 ,Natural Language Processing,Dr. dharamender,4,3,2,2,3
171,CSE1004 ,Network and Communication,Dr. mishri,1,2,5,3,5
172,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. ankesh,1,2,1,3,4
173,ECE3501,IoT Fundamentals,Dr. bhagwana,1,2,3,4,4
174,CSE3001 ,Software Engineering,Dr. jhagdoo,1,1,3,3,4
175,CSE3006 ,Embedded System Design,Dr. kesri,3,2,2,3,5
176,CSE1007 ,Java Programming,Dr. sahima,2,5,1,2,3
177,CSE3020 ,Data Visualization,Dr. avantika,4,3,0,3,2
178,ECE3501,IoT Fundamentals,Dr. nathuram,3,5,3,5,2
179,CSE3020 ,Data Visualization,Dr. chandru,2,5,4,5,5
180,CSE3020 ,Data Visualization,Dr. rupal,2,5,0,2,3
181,CSE3020 ,Data Visualization,Dr. lakky,5,4,2,5,4
182,CSE4011 ,Virtualization,Dr. naruram,5,5,3,1,4
183,CSE3006 ,Embedded System Design,Dr. badrudeen,2,3,1,3,2
184,CSE1004 ,Network and Communication,Dr. annielal,2,5,3,5,2
185,MAT1014,Discrete Mathematics and Graph Theory,Dr. nirmala,4,1,3,2,4
186,CSE3029 ,Game Programming,Dr. gugna,4,1,3,5,5
187,ECE3502,IoT Domain Analyst,Dr. budhwanti,3,5,1,3,4
188,CSE3020 ,Data Visualization,Dr. rubbi,1,5,1,1,3
189,CSE1004 ,Network and Communication,Dr. veronika,3,5,2,1,4
190,CSE3502,Information Security Management,Dr. akansha,5,3,3,2,2
191,CSE3018 ,Content Based Image and Video Retrieval,Dr. aarti,2,3,1,5,5
192,CSE4011 ,Virtualization,Dr. allabaksh,4,2,3,5,3
193,CSE2004 ,Database Management Systems,Dr. surya,1,2,1,1,4
194,CSE2001 ,Computer Architecture and Organization,Dr. razi,1,3,2,2,5
195,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. guljar,2,4,2,1,3
196,CSE3013 ,Artificial Intelligence,Dr. sanjogta,1,5,1,1,3
197,CSE2012,Design and analysis of algorithms,Dr. babli,1,2,3,1,4
198,CSE4001 ,Parallel and Distributed Computing,Dr. rishma,4,4,0,1,4
199,ECE3501,IoT Fundamentals,Dr. anikesh,1,2,6,5,5
200,CSE2014,Compiler Design,Dr. vivek,3,3,1,5,4
201,CSE2011 ,Data Structures and Algorithms,Dr. terence,5,5,1,5,2
202,CSE4020 ,Machine Learning,Dr. tolaram,2,5,1,1,2
203,CSE1004 ,Network and Communication,Dr. tanya,3,3,2,2,3
204,CSE4001 ,Parallel and Distributed Computing,Dr. monti,5,1,3,1,4
205,CSE3502,Information Security Management,Dr. jaitun,4,1,3,2,3
206,MAT2002,Applications of Differential and Difference Equations,Dr. sarwesh,2,5,2,2,2
207,CSE4001 ,Parallel and Distributed Computing,Dr. viney,5,3,4,5,3
208,CSE2013,Theory of Computation,Dr. jayanti,1,3,1,3,2
209,CSE4001 ,Parallel and Distributed Computing,Dr. anjila,1,4,1,1,4
210,MAT1014,Discrete Mathematics and Graph Theory,Dr. spana,3,2,0,3,2
211,CSE3024 ,Web Mining,Dr. baita,4,1,4,5,4
212,ECE3501,IoT Fundamentals,Dr. shivnath,4,1,2,1,5
213,CSE3502,Information Security Management,Dr. ramvilash,1,2,3,1,5
214,ECE3501,IoT Fundamentals,Dr. maansingh,3,2,0,1,3
215,CSE2011 ,Data Structures and Algorithms,Dr. tyara,4,2,2,4,3
216,CSE1007 ,Java Programming,Dr. navendra,2,1,2,2,3
217,EEE1001,Basic Electrical and Electronics Engineering,Dr. nirmaljeet,4,2,1,1,2
218,CSE2013,Theory of Computation,Dr. ajkati,4,2,0,2,5
219,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. sidarth,4,3,4,1,5
220,CSE3013 ,Artificial Intelligence,Dr. shalini,5,5,3,2,4
221,CSE4011 ,Virtualization,Dr. khushal,4,4,1,4,2
222,CSE4003 ,Cyber Security,Dr. lavali,5,1,3,1,5
223,CSE3025 ,Large Scale Data Processing,Dr. bhramanand,1,2,2,2,2
224,CSE4022 ,Natural Language Processing,Dr. ujir,4,3,4,2,5
225,CSE3009 ,Internet of Things,Dr. diwan,3,3,2,4,4
226,CSE2023,Robotic Process Automation,Dr. lokender,1,1,1,2,4
227,CSE2012,Design and analysis of algorithms,Dr. dhanpat,4,1,2,5,3
228,MAT1014,Discrete Mathematics and Graph Theory,Dr. jarina,4,2,1,5,5
229,CSE3013 ,Artificial Intelligence,Dr. guddiya,3,2,3,3,4
230,CSE2014,Compiler Design,Dr. bavita,5,5,2,4,2
231,CSE2014,Compiler Design,Dr. shimran,5,1,3,3,4
232,CSE3506,Essentials of Data Analytics,Dr. dhanwanti,5,2,3,3,3
233,CSE4001 ,Parallel and Distributed Computing,Dr. sahanaj,1,5,0,4,2
234,CSE4015 ,Human Computer Interaction,Dr. sri,3,2,3,4,4
235,CSE2014,Compiler Design,Dr. kafia,4,5,1,5,4
236,CSE4014 ,High Performance Computing,Dr. chajju,3,1,0,1,2
237,CSE1004 ,Network and Communication,Dr. sanchit,4,5,3,4,4
238,CSE3020 ,Data Visualization,Dr. sukhbeer,4,1,2,3,2
239,CSE2011 ,Data Structures and Algorithms,Dr. saveta,3,4,1,3,3
240,CSE1003 ,Digital Logic and Design,Dr. najmin,4,5,1,2,4
241,ECE3501,IoT Fundamentals,Dr. meer,5,2,0,4,4
242,MAT3004 ,Applied Linear Algebra,Dr. noreen,4,1,1,4,3
243,CSE3013 ,Artificial Intelligence,Dr. dipu,4,2,2,2,4
244,CSE3018 ,Content Based Image and Video Retrieval,Dr. samsung,5,5,2,1,4
245,CSE3018 ,Content Based Image and Video Retrieval,Dr. rampal,3,3,1,5,2
246,CSE1004 ,Network and Communication,Dr. salin,3,4,2,4,2
247,ECE3502,IoT Domain Analyst,Dr. pamjeet,4,2,2,5,5
248,CSE2006 ,Microprocessor and Interfacing,Dr. yashmin,1,3,1,2,3
249,CSE3001 ,Software Engineering,Dr. bala,4,3,1,4,5
250,CSE2013,Theory of Computation,Dr. sandeep,4,2,3,2,3
251,CSE1003 ,Digital Logic and Design,Dr. jagrti,3,4,1,5,2
252,CSE3502,Information Security Management,Dr. choga,2,4,5,2,5
253,ECE3501,IoT Fundamentals,Dr. nosi,4,3,1,2,5
254,CSE3018 ,Content Based Image and Video Retrieval,Dr. ghanshayam,1,1,3,2,2
255,CSE4003 ,Cyber Security,Dr. ramanand,5,1,2,1,3
256,CSE2013,Theory of Computation,Dr. subjeet,3,2,1,3,4
257,CSE2005 ,Operating Systems,Dr. vanshika,5,5,5,4,5
258,CSE3020 ,Data Visualization,Dr. rita,4,5,0,5,5
259,MAT2002,Applications of Differential and Difference Equations,Dr. miha,2,1,0,5,2
260,MAT3004 ,Applied Linear Algebra,Dr. ikbal,4,5,4,5,5
261,CSE4011 ,Virtualization,Dr. mul,4,4,2,5,4
262,CSE2013,Theory of Computation,Dr. sarmila,3,5,5,3,4
263,CSE3002 ,Internet and Web Programming,Dr. bhauk,1,5,2,4,5
264,CSE2014,Compiler Design,Dr. suhana,3,4,3,2,4
265,CSE2001 ,Computer Architecture and Organization,Dr. sahajaha,5,2,2,4,3
266,CSE3011 ,Robotics and its Applications,Dr. chandi,3,5,2,2,3
267,CSE4011 ,Virtualization,Dr. narendera,3,4,1,1,4
268,CSE3011 ,Robotics and its Applications,Dr. surgayan,2,1,0,2,2
269,CSE1003 ,Digital Logic and Design,Dr. karima,5,5,1,1,2
270,EEE1001,Basic Electrical and Electronics Engineering,Dr. neeru,2,1,2,3,3
271,EEE1001,Basic Electrical and Electronics Engineering,Dr. ajmeri,1,2,4,3,4
272,CSE3025 ,Large Scale Data Processing,Dr. wakar,3,5,1,5,2
273,CSE2004 ,Database Management Systems,Dr. sudhata,4,4,2,4,2
274,CSE3506,Essentials of Data Analytics,Dr. vishvanath,1,1,3,4,4
275,MAT2002,Applications of Differential and Difference Equations,Dr. jasbir,4,2,3,4,4
276,CSE2011 ,Data Structures and Algorithms,Dr. julficar,2,2,3,1,2
277,CSE3013 ,Artificial Intelligence,Dr. sajruddin,5,1,1,1,3
278,CSE1007 ,Java Programming,Dr. gulnaaz,1,5,2,1,3
279,CSE3501,Information Security Analysis and Audit,Dr. vasu,4,2,2,4,3
280,CSE2004 ,Database Management Systems,Dr. akaash,5,3,5,2,5
281,CSE1004 ,Network and Communication,Dr. chandracala,4,1,1,1,4
282,CSE4001 ,Parallel and Distributed Computing,Dr. nazmuslam,3,5,1,2,5
283,CSE3009 ,Internet of Things,Dr. priyanshu,5,3,1,3,3
284,CSE4004 ,Digital Forensics,Dr. akshay,3,1,3,1,3
285,ECE3501,IoT Fundamentals,Dr. barjraj,3,4,2,5,4
286,CSE3505,Foundations of Data Analytics,Dr. aashu,2,2,2,3,3
287,CSE3506,Essentials of Data Analytics,Dr. prakul,2,3,4,5,5
288,CSE2001 ,Computer Architecture and Organization,Dr. richa,2,5,3,1,4
289,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. nandkishore,2,1,3,1,4
290,ECE3501,IoT Fundamentals,Dr. sidhart,4,1,2,4,2
291,ECE3502,IoT Domain Analyst,Dr. spna,3,5,2,2,2
292,CSE2005 ,Operating Systems,Dr. jhagdoo,2,2,2,1,3
293,CSE2014,Compiler Design,Dr. aanik,4,5,2,3,3
294,CSE1003 ,Digital Logic and Design,Dr. kafia,1,2,0,3,4
295,CSE3029 ,Game Programming,Dr. shaifali,4,3,1,5,3
296,CSE3021 ,Social and Information Networks,Dr. shahnabaz,1,4,3,1,4
297,CSE2013,Theory of Computation,Dr. harneet,5,2,0,2,3
298,CSE2005 ,Operating Systems,Dr. pushpendr,2,5,2,2,2
299,CSE3506,Essentials of Data Analytics,Dr. panchhi,2,3,2,2,4
300,CSE3502,Information Security Management,Dr. kamreen,3,2,3,1,3
301,ECE3502,IoT Domain Analyst,Dr. sayari,4,5,1,1,2
302,CSE2012,Design and analysis of algorithms,Dr. inkoo,5,4,1,1,5
303,CSE3505,Foundations of Data Analytics,Dr. amida,5,2,2,3,2
304,CSE2023,Robotic Process Automation,Dr. mandan,5,1,3,2,3
305,CSE2014,Compiler Design,Dr. geetika,1,2,5,5,4
306,CSE3013 ,Artificial Intelligence,Dr. sudhdev,5,4,3,5,2
307,CSE2001 ,Computer Architecture and Organization,Dr. nishant,5,1,2,4,3
308,CSE1003 ,Digital Logic and Design,Dr. trilochan,3,3,1,3,2
309,CSE4011 ,Virtualization,Dr. ranjita,5,1,2,4,3
310,CSE2005 ,Operating Systems,Dr. hazra,5,4,3,2,2
311,CSE3501,Information Security Analysis and Audit,Dr. mansa,4,4,1,4,4
312,CSE4011 ,Virtualization,Dr. dhaneswar,5,4,2,5,2
313,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. sawariya,4,3,2,5,4
314,EEE1001,Basic Electrical and Electronics Engineering,Dr. chitra,5,4,2,3,4
315,CSE4015 ,Human Computer Interaction,Dr. pervinder,2,2,1,5,3
316,CSE3029 ,Game Programming,Dr. monini,5,2,1,3,4
317,CSE4020 ,Machine Learning,Dr. saad,3,3,3,4,2
318,CSE4003 ,Cyber Security,Dr. ratmo,5,3,1,3,3
319,CSE3011 ,Robotics and its Applications,Dr. geetu,2,5,4,1,5
320,CSE2004 ,Database Management Systems,Dr. ganga,2,1,4,1,5
321,CSE2011 ,Data Structures and Algorithms,Dr. umashanker,3,3,1,3,2
322,CSE2023,Robotic Process Automation,Dr. rashab,3,5,1,1,2
323,CSE3006 ,Embedded System Design,Dr. razi,4,3,4,1,4
324,CSE2011 ,Data Structures and Algorithms,Dr. netrapal,5,5,3,1,5
325,CSE2006 ,Microprocessor and Interfacing,Dr. boby,3,5,2,3,3
326,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. ramkhilawan,3,1,2,1,4
327,MAT2002,Applications of Differential and Difference Equations,Dr. zainab,3,5,5,3,5
328,CSE2012,Design and analysis of algorithms,Dr. basibul,3,3,2,2,5
329,CSE2013,Theory of Computation,Dr. sakshi,1,1,1,3,2
330,MAT3004 ,Applied Linear Algebra,Dr. sattaram,4,5,1,4,2
331,CSE4019 ,Image Processing,Dr. shekher,1,2,2,2,2
332,CSE4019 ,Image Processing,Dr. foolwati,5,3,2,4,3
333,CSE4001 ,Parallel and Distributed Computing,Dr. soheb,3,5,3,3,4
334,CSE3021 ,Social and Information Networks,Dr. soma,5,4,0,3,5
335,MAT2002,Applications of Differential and Difference Equations,Dr. suhsmita,1,2,5,5,5
336,CSE2012,Design and analysis of algorithms,Dr. pallawi,3,4,3,4,3
337,MAT2002,Applications of Differential and Difference Equations,Dr. ramsem,1,4,0,2,4
338,CSE3502,Information Security Management,Dr. reeti,5,2,1,2,2
339,CSE2004 ,Database Management Systems,Dr. dilip,1,3,1,5,2
340,CSE3009 ,Internet of Things,Dr. tripti,5,3,1,3,2
341,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. batu,3,4,3,1,3
342,CSE2004 ,Database Management Systems,Dr. nanda,3,3,3,1,5
343,CSE3029 ,Game Programming,Dr. deepak,1,4,1,3,2
344,CSE1007 ,Java Programming,Dr. saziya,5,5,4,2,5
345,CSE3502,Information Security Management,Dr. vidyadatt,3,4,2,5,3
346,CSE3018 ,Content Based Image and Video Retrieval,Dr. sayna,3,4,4,1,5
347,CSE2006 ,Microprocessor and Interfacing,Dr. rehman,2,4,3,2,5
348,CSE3002 ,Internet and Web Programming,Dr. shashid,3,5,0,5,3
349,CSE2004 ,Database Management Systems,Dr. munish,5,3,1,4,4
350,CSE2013,Theory of Computation,Dr. saizad,1,1,1,1,4
351,CSE3024 ,Web Mining,Dr. kapiil,1,1,2,4,4
352,CSE4020 ,Machine Learning,Dr. pritika,4,4,3,2,5
353,CSE3506,Essentials of Data Analytics,Dr. subodh,1,3,2,2,4
354,CSE3505,Foundations of Data Analytics,Dr. jashgul,3,2,3,5,5
355,CSE4019 ,Image Processing,Dr. sabba,1,1,1,2,2
356,CSE4001 ,Parallel and Distributed Computing,Dr. sadur,2,2,3,2,4
357,CSE4019 ,Image Processing,Dr. iarfan,4,4,4,1,5
358,EEE1001,Basic Electrical and Electronics Engineering,Dr. njare,4,4,2,3,3
359,ECE3502,IoT Domain Analyst,Dr. amandeep,4,5,1,4,2
360,CSE3506,Essentials of Data Analytics,Dr. mandvi,3,2,3,4,3
361,CSE3011 ,Robotics and its Applications,Dr. rabpreet,4,4,2,5,3
362,MAT1014,Discrete Mathematics and Graph Theory,Dr. attar,5,4,3,4,4
363,CSE3006 ,Embedded System Design,Dr. bodu,4,2,2,4,4
